Selected Regions,For The Year 2020
Global,86
Asia and the Pacific,78
Caribbean,85
Eastern Europe and Central Asia,72
East and Southern Africa,91
Latin America,80
Middle East and North Africa,56
West and Central Africa,77
Western & Central Europe and North America,90
