Country,lat,lon,Cases 2020,New Cases 2020,Total Deaths 2020
Uganda,33.886917,9.537499,1 600 000 ,4900,2 000
Ukraine,1.373333,32.290275,260 000,1000,4800
United Republic of Tanzania,48.379433,31.16558,44 000 ,45 000 ,500
United States,-6.369028,34.888822,110 000 ,34 000 ,14 000 
Uzbekistan,37.09024,-95.712891,220 000 ,15 000 ,17 000 
Venezuela (Bolivarian Republic of),41.377491,64.585262,11 000 ,10 000 ,600 000 
Viet Nam,6.42375,-66.58973,1 200 000 ,82 000 ,4800
Yemen,14.058324,108.277199,1 300 000 ,190 000 ,500
Zambia,15.552727,48.516388,36 200 000 ,45 000 ,14 000 
Zimbabwe,-13.133897,27.849332,1 300 000 ,48 000 ,17 000 
Global,-19.015438,29.154857,36 200 000 ,30 000 ,600 000 
