Selected Regions,For The Year 2020
Global,81
Asia and the Pacific,75
Caribbean,77
Eastern Europe and Central Asia,70
East and Southern Africa,87
Latin America,77
Middle East and North Africa,52
West and Central Africa,68
Western & Central Europe and North America,88
